date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2016%20Jun%202025%2019:08:03%20GMT	https://ecommerceportal.dhl.com/track/	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/index.html	(from )
12:08:03	431/431	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jun%202025%2019:08:03%20GMT	https://ecommerceportal.dhl.com/robots.txt		(from )
12:08:04	133510/133510	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2019:08:03%20GMT	https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.html	(from https://ecommerceportal.dhl.com/track/)
12:08:04	25036/25036	---M-Z	200	added ('OK')	text/css	etag:W/%2224684-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/theme.cssab55.css	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:05	285314/285314	---MCZ	200	added ('OK')	application/javascript	etag:W/%22285314-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2.9	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/jquery/jquery.js134a.xhtml	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:06	524768/524768	---MCZ	200	added ('OK')	application/javascript	etag:W/%22524768-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2.9	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/jquery/jquery-plugins.js134a.xhtml	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:06	30695/30695	---M-Z	200	added ('OK')	application/javascript	etag:W/%2230695-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2.9	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/core.js134a.xhtml	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:07	416629/416629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22416629-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2.9	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/components.js134a.xhtml	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:08	86757/86757	---M-Z	200	added ('OK')	text/css	etag:W/%2286427-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2.9	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/components.css134a.css	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:09	35/35	---M--	200	added ('OK')	text/css	etag:W/%2235-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/watermark/watermark.css.xhtml?ln=primefaces&v=6.2.9	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/watermark/watermark.css134a.css	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
